Index,State,Year,Population,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,Studio_Percent_Change,One_Bedroom_Percent_Change,Two_Bedroom_Percent_Change,Three_Bedroom_Percent_Change,Four_Bedroom_Percent_Change
303,OR,2024,116009.61111111111,949.6111111111111,1049.3055555555557,1307.138888888889,1822.3055555555557,2142.6388888888887,8.765231777544447,7.336686272838344,7.252421652421659,6.455172413793098,6.462120271072269
305,PA,2018,189587.74626865672,611.5671641791045,683.3432835820895,851.2388059701492,1100.7611940298507,1212.9701492537313,3.3026597756208087,2.7537760621226814,2.919787061264989,3.009944689647459,2.5502220876236548
306,PA,2019,189587.74626865672,613.1343283582089,682.8507462686567,851.6417910447761,1101.6268656716418,1215.3731343283582,0.25625381330078856,-0.07207758168791267,0.04734101309769034,0.07864300145083991,0.19810751947237915
307,PA,2020,190902.76119402985,616.0597014925373,683.7313432835821,849.5671641791045,1098.5223880597016,1216.865671641791,0.4771178188899716,0.12895892985944624,-0.24360322467578133,-0.28180845154384127,0.12280486307258975
308,PA,2021,190902.76119402985,643.2835820895523,705.8955223880597,877.776119402985,1132.686567164179,1258.1641791044776,4.4190328520205435,3.241650294695475,3.320391419686941,3.110012092226988,3.3938427572672625
309,PA,2022,190902.76119402985,677.2985074626865,740.5074626865671,920.4776119402985,1181.2238805970148,1322.4626865671642,5.287703016241285,4.90326673009831,4.8647361888082274,4.2851495585716215,5.110502153101537
310,PA,2023,190968.4328358209,748.4776119402985,822.3432835820895,1018.4776119402985,1301.2537313432836,1464.8208955223881,10.509266400758065,11.051316160761072,10.646646776495006,10.161481893305702,10.764629535579262
311,PA,2024,190968.4328358209,797.8507462686567,877.0597014925373,1083.6268656716418,1383.44776119403,1561.6716417910447,6.596474435670419,6.653719803256086,6.3967290952255285,6.316525968067532,6.6117807688780506
313,RI,2018,26988.897435897437,762.3076923076923,864.0769230769231,1047.5384615384614,1342.1538461538462,1591.6153846153845,2.6198612405508914,2.9605866177818463,2.4988709920216623,2.7319830428638614,1.2725759874700149
314,RI,2019,26988.897435897437,802.1538461538462,903.3846153846154,1093.3846153846155,1403.076923076923,1642.0,5.227043390514652,4.549096412356435,4.376560434718768,4.53920220082531,3.1656275675414403
315,RI,2020,27080.897435897437,811.9230769230769,911.1538461538462,1107.5384615384614,1415.2307692307693,1662.6153846153845,1.217874952052167,0.8600136239782064,1.2944983818770073,0.8662280701754455,1.2555045441768886
316,RI,2021,27080.897435897437,867.8461538461538,968.8461538461538,1177.3846153846155,1498.076923076923,1791.6153846153845,6.887730933207004,6.331785563528913,6.306431448812355,5.853897162735078,7.758859998149359
317,RI,2022,27080.897435897437,940.6153846153846,1050.3076923076924,1272.1538461538462,1604.1538461538462,1970.8461538461538,8.385038113809617,8.408098451766577,8.049131059715142,7.080872913992309,10.003864153535712
318,RI,2023,27123.02564102564,1107.6923076923076,1199.4615384615386,1453.1538461538462,1797.6153846153845,2229.3076923076924,17.762512266928354,14.200966749670417,14.227838916434887,12.0600364438477,13.114242223176298
319,RI,2024,27123.02564102564,1325.1538461538462,1418.923076923077,1731.0,2121.153846153846,2632.3846153846152,19.63194444444445,18.2966715834028,19.12021597586151,17.998202747229254,18.08081156619854
321,SC,2018,100551.39130434782,566.5,633.0869565217391,771.304347826087,1024.1304347826087,1191.6304347826087,1.7174753112924046,1.7362445414847327,1.117191062471501,0.994726235904464,0.9595903783106818
322,SC,2019,100551.39130434782,605.7391304347826,665.9565217391304,805.804347826087,1070.5,1252.4565217391305,6.926589661921034,5.191951102259451,4.472942502818489,4.527701125026518,5.104442214722238
323,SC,2020,106379.02173913043,610.1086956521739,657.3695652173913,788.3913043478261,1043.891304347826,1230.9130434782608,0.7213608957794992,-1.289416987660763,-2.160951790001886,-2.4856324756818315,-1.7200978945724144
324,SC,2021,106379.02173913043,653.0869565217391,685.8260869565217,824.2391304347826,1085.7826086956522,1283.2173913043478,7.044361304115454,4.328846853401247,4.5469585837975,4.012994856202767,4.249231747377347
