Index,Year,State,County,Population,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom
133,2024,AR,Drew County,18263,655.0,673.0,884.0,1084.0,1291.0
134,2024,AR,Faulkner County,124800,944.0,950.0,1089.0,1454.0,1717.0
135,2024,AR,Franklin County,17785,638.0,642.0,814.0,1007.0,1381.0
136,2024,AR,Fulton County,12301,552.0,620.0,814.0,1126.0,1244.0
137,2024,AR,Garland County,99043,767.0,775.0,1007.0,1249.0,1616.0
138,2024,AR,Grant County,18229,743.0,748.0,893.0,1161.0,1406.0
139,2024,AR,Greene County,45197,636.0,737.0,858.0,1209.0,1214.0
140,2024,AR,Hempstead County,21695,643.0,660.0,867.0,1149.0,1406.0
141,2024,AR,Hot Spring County,33667,603.0,620.0,814.0,1090.0,1310.0
142,2024,AR,Howard County,13267,610.0,626.0,823.0,995.0,1127.0
143,2024,AR,Independence County,37585,618.0,623.0,818.0,1087.0,1089.0
144,2024,AR,Izard County,13596,604.0,683.0,814.0,1075.0,1148.0
145,2024,AR,Jackson County,16908,604.0,620.0,814.0,984.0,1148.0
146,2024,AR,Jefferson County,68123,635.0,690.0,906.0,1151.0,1207.0
147,2024,AR,Johnson County,26475,612.0,628.0,825.0,1050.0,1164.0
148,2024,AR,Lafayette County,6728,604.0,620.0,814.0,984.0,1148.0
149,2024,AR,Lawrence County,16511,604.0,620.0,814.0,1082.0,1276.0
150,2024,AR,Lee County,8963,604.0,620.0,814.0,1147.0,1148.0
151,2024,AR,Lincoln County,13278,635.0,690.0,906.0,1151.0,1207.0
152,2024,AR,Little River County,12345,615.0,620.0,814.0,1147.0,1381.0
153,2024,AR,Logan County,21619,563.0,725.0,814.0,1139.0,1218.0
154,2024,AR,Lonoke County,73163,944.0,950.0,1089.0,1454.0,1717.0
155,2024,AR,Madison County,16393,871.0,924.0,1121.0,1580.0,1847.0
156,2024,AR,Marion County,16586,630.0,648.0,852.0,1030.0,1213.0
157,2024,AR,Miller County,43515,779.0,784.0,982.0,1221.0,1601.0
158,2024,AR,Mississippi County,41396,598.0,623.0,814.0,1080.0,1084.0
159,2024,AR,Monroe County,6879,552.0,620.0,814.0,1011.0,1148.0
160,2024,AR,Montgomery County,8964,604.0,725.0,814.0,1073.0,1381.0
161,2024,AR,Nevada County,8249,653.0,671.0,881.0,1065.0,1243.0
162,2024,AR,Newton County,7753,604.0,725.0,814.0,984.0,1381.0
163,2024,AR,Ouachita County,23597,696.0,700.0,814.0,1109.0,1113.0
164,2024,AR,Perry County,10342,944.0,950.0,1089.0,1454.0,1717.0
165,2024,AR,Phillips County,18151,604.0,622.0,814.0,1147.0,1381.0
166,2024,AR,Pike County,10714,604.0,641.0,814.0,1063.0,1174.0
167,2024,AR,Poinsett County,23747,615.0,620.0,814.0,1080.0,1084.0
168,2024,AR,Polk County,19999,584.0,662.0,861.0,1041.0,1152.0
169,2024,AR,Pope County,63926,581.0,663.0,857.0,1208.0,1225.0
170,2024,AR,Prairie County,8138,631.0,648.0,851.0,1029.0,1200.0
171,2024,AR,Pulaski County,393078,944.0,950.0,1089.0,1454.0,1717.0
172,2024,AR,Randolph County,17934,604.0,725.0,814.0,1147.0,1381.0
173,2024,AR,St. Francis County,25477,618.0,660.0,833.0,1161.0,1166.0
174,2024,AR,Saline County,120990,944.0,950.0,1089.0,1454.0,1717.0
175,2024,AR,Scott County,10269,604.0,620.0,814.0,1043.0,1148.0
176,2024,AR,Searcy County,7898,604.0,620.0,814.0,1042.0,1148.0
177,2024,AR,Sebastian County,127670,674.0,678.0,891.0,1222.0,1437.0
178,2024,AR,Sevier County,16947,620.0,624.0,814.0,1059.0,1204.0
179,2024,AR,Sharp County,17217,611.0,620.0,814.0,1000.0,1290.0
180,2024,AR,Stone County,12582,604.0,620.0,814.0,1147.0,1148.0
181,2024,AR,Union County,39089,692.0,696.0,864.0,1158.0,1219.0
182,2024,AR,Van Buren County,16578,615.0,620.0,814.0,1050.0,1084.0
183,2024,AR,Washington County,236198,871.0,924.0,1121.0,1580.0,1847.0
184,2024,AR,White County,78725,604.0,704.0,854.0,1133.0,1272.0
185,2024,AR,Woodruff County,6477,604.0,646.0,814.0,1078.0,1148.0
186,2024,AR,Yell County,21425,604.0,636.0,814.0,1140.0,1148.0
187,2024,CA,Alameda County,1661584,1825.0,2131.0,2590.0,3342.0,3954.0
188,2024,CA,Alpine County,1159,911.0,1005.0,1321.0,1862.0,2168.0
189,2024,CA,Amador County,39023,1128.0,1135.0,1347.0,1898.0,2286.0
190,2024,CA,Butte County,223344,1049.0,1091.0,1428.0,2012.0,2423.0
191,2024,CA,Calaveras County,45828,1049.0,1055.0,1309.0,1845.0,2135.0
192,2024,CA,Colusa County,21491,823.0,829.0,1089.0,1519.0,1525.0
193,2024,CA,Contra Costa County,1147788,1825.0,2131.0,2590.0,3342.0,3954.0
194,2024,CA,Del Norte County,27692,791.0,970.0,1147.0,1616.0,1946.0
195,2024,CA,El Dorado County,190345,1543.0,1666.0,2072.0,2884.0,3321.0
